frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
274,9.133333333333333,516072,60,40,46,48,2208,4416,2465,2481,3361793B
275,9.166666666666666,518553,60,40,44,48,2112,4224,2405,2421,C633D303
276,9.2,520974,59,41,45,47,2115,4230,2381,2397,BE2E34CA
277,9.233333333333333,523371,68,63,1,25,25,50,49,65,B62D20D2
278,9.266666666666667,523436,59,41,44,47,2068,4136,2257,2273,D2591118
279,9.3,525709,65,55,34,25,850,1700,1156,1172,E21DB3D3
280,9.333333333333334,526881,59,42,43,45,1935,3870,2193,2209,1D693904
281,9.366666666666667,529090,59,42,44,46,2024,4048,2206,2222,CD63CD05
282,9.4,531312,59,40,44,48,2112,4224,2273,2289,BAA3D1FB
283,9.433333333333334,533601,67,44,20,10,200,400,296,312,1F5F7A63
284,9.466666666666667,533913,60,40,44,48,2112,4224,2338,2354,7997E4A6
285,9.5,536267,59,40,45,48,2160,4320,2381,2397,E68CF86B
286,9.533333333333333,538664,57,40,47,48,2256,4512,2426,2442,AA36DF7B
287,9.566666666666666,541106,69,54,31,34,1054,2108,1319,1335,E213028C
288,9.6,542441,57,40,48,48,2304,4608,2432,2448,B6026B61
289,9.633333333333333,544889,63,60,32,3,96,192,155,171,F171A0F5
290,9.666666666666666,545060,59,40,47,48,2256,4512,2424,2440,0627890C
291,9.7,547500,62,40,45,48,2160,4320,2306,2322,FA9E9772
292,9.733333333333333,549822,63,40,45,48,2160,4320,2265,2281,F69F7E1E
293,9.766666666666667,552103,64,41,44,47,2068,4136,2213,2229,4B8CB4B9
294,9.8,554332,64,41,45,47,2115,4230,2117,2133,6543887C
295,9.833333333333334,556465,86,86,1,1,1,2,3,19,C1AEC2DD
296,9.866666666666667,556484,75,56,32,18,576,1152,835,851,D01F9B1C
297,9.9,557335,65,42,44,45,1980,3960,2059,2075,5A75AF0F
298,9.933333333333334,559410,65,42,44,46,2024,4048,2163,2179,2BB463C2
299,9.966666666666667,561589,64,40,44,48,2112,4224,2209,2225,61B9A180
300,10.0,563814,64,40,44,48,2112,4224,2264,2280,C715FCF7
301,10.033333333333333,566094,85,51,18,37,666,1332,890,906,36B1BAB5
302,10.066666666666666,567000,64,40,44,48,2112,4224,2316,2332,81DC40A1
303,10.1,569332,64,40,45,48,2160,4320,2466,2482,76FA188E
304,10.133333333333333,571814,68,47,42,41,1722,3444,2132,2148,3C2EDF4F
305,10.166666666666666,573962,62,40,48,48,2304,4608,2473,2489,EF8B212A
306,10.2,576451,62,40,46,48,2208,4416,2474,2490,9A17AAC1
307,10.233333333333333,578941,77,41,25,13,325,650,434,450,E1C72489
308,10.266666666666667,579391,60,40,47,48,2256,4512,2473,2489,8B065E36
309,10.3,581880,60,40,44,48,2112,4224,2405,2421,0AD1ACC0
310,10.333333333333334,584301,59,41,45,47,2115,4230,2377,2393,FA0F7DE2
311,10.366666666666667,586694,59,41,44,47,2068,4136,2249,2265,F29BC1FE
312,10.4,588959,65,55,27,31,837,1674,1153,1169,4F155B8E
313,10.433333333333334,590128,67,85,1,1,1,2,3,19,FB1B9313
314,10.466666666666667,590147,59,42,43,45,1935,3870,2191,2207,19139D4D
315,10.5,592354,59,42,44,46,2024,4048,2195,2211,0D8440ED
316,10.533333333333333,594565,59,40,44,48,2112,4224,2270,2286,8D72D888
317,10.566666666666666,596851,60,40,44,47,2068,4136,2310,2326,9C3A809E
318,10.6,599177,59,40,45,48,2160,4320,2396,2412,6A4BF694
319,10.633333333333333,601589,64,61,26,19,494,988,563,579,6AD9F68E
320,10.666666666666666,602168,57,40,47,48,2256,4512,2436,2452,3D4EA2A3
321,10.7,604620,69,54,29,17,493,986,747,763,A067AAF1
322,10.733333333333333,605383,57,40,48,48,2304,4608,2436,2452,040C1071
323,10.766666666666667,607835,59,40,47,48,2256,4512,2410,2426,485661DB
324,10.8,610261,62,40,45,48,2160,4320,2291,2307,CC725BE1
325,10.833333333333334,612568,68,54,1,11,11,22,21,37,0CD3AA37
326,10.866666666666667,612605,63,40,45,48,2160,4320,2283,2299,44F5066B
327,10.9,614904,64,41,44,47,2068,4136,2203,2219,58BF2086
328,10.933333333333334,617123,65,41,44,47,2068,4136,2103,2119,DB9CE65F
329,10.966666666666667,619242,76,56,31,16,496,992,765,781,B2E39B51
330,11.0,620023,65,42,44,45,1980,3960,2064,2080,63F1736F
331,11.033333333333333,622103,85,87,1,1,1,2,3,19,0ADC1DC9
332,11.066666666666666,622122,65,42,44,46,2024,4048,2165,2181,048AB7CF
333,11.1,624303,64,40,44,48,2112,4224,2229,2245,DDD96238
334,11.133333333333333,626548,64,40,44,47,2068,4136,2252,2268,0D6CEBD2
335,11.166666666666666,628816,64,40,44,48,2112,4224,2310,2326,8DA7EB4B
336,11.2,631142,64,40,45,48,2160,4320,2455,2471,C86001AF
337,11.233333333333333,633613,65,45,38,35,1330,2660,1752,1768,0E0C8751
338,11.266666666666667,635381,69,54,41,34,1394,2788,1717,1733,4A88FEB5
339,11.3,637114,62,40,48,48,2304,4608,2482,2498,027EBEE9
340,11.333333333333334,639612,62,40,46,48,2208,4416,2459,2475,F9B5DFBD
341,11.366666666666667,642087,60,40,47,48,2256,4512,2472,2488,7565B188
342,11.4,644575,60,40,44,48,2112,4224,2396,2412,7E2AF512
343,11.433333333333334,646987,68,44,27,22,594,1188,899,915,8291AD06
344,11.466666666666667,647902,59,41,45,47,2115,4230,2373,2389,005ED558
345,11.5,650291,59,41,44,47,2068,4136,2254,2270,67F24DFF
346,11.533333333333333,652561,65,55,28,25,700,1400,957,973,941DDB06
347,11.566666666666666,653534,59,42,43,46,1978,3956,2239,2255,44C33C4E
348,11.6,655789,59,42,44,46,2024,4048,2209,2225,EC869B2C
349,11.633333333333333,658014,59,44,11,19,209,418,279,295,B7863383
350,11.666666666666666,658309,59,40,44,48,2112,4224,2260,2276,3A9BFF5E
351,11.7,660585,60,40,44,48,2112,4224,2349,2365,2B729F9D
352,11.733333333333333,662950,59,40,45,48,2160,4320,2377,2393,F7C1EAEA
353,11.766666666666667,665343,57,40,47,48,2256,4512,2413,2429,77E5E851
354,11.8,667772,70,53,29,35,1015,2030,1252,1268,C94D0FB2
355,11.833333333333334,669040,77,61,17,10,170,340,242,258,9F00A4F1
356,11.866666666666667,669298,57,40,48,48,2304,4608,2426,2442,B3D60DD6
357,11.9,671740,59,40,47,48,2256,4512,2415,2431,8066C105
358,11.933333333333334,674171,62,40,45,48,2160,4320,2300,2316,69B74E54
359,11.966666666666667,676487,63,40,45,48,2160,4320,2257,2273,FF59676A
360,12.0,678760,64,41,44,47,2068,4136,2224,2240,29F708AD
361,12.033333333333333,681000,89,45,14,21,294,588,471,487,012432C7
362,12.066666666666666,681487,65,41,44,47,2068,4136,2114,2130,8585C1B3
363,12.1,683617,76,56,31,16,496,992,773,789,6C10981B
364,12.133333333333333,684406,65,42,44,45,1980,3960,2069,2085,E8064309
365,12.166666666666666,686491,65,42,44,46,2024,4048,2165,2181,99B8EBF4
366,12.2,688672,64,40,44,48,2112,4224,2215,2231,5B1AC79B
367,12.233333333333333,690903,69,42,25,26,650,1300,983,999,0A57E27F
368,12.266666666666667,691902,64,40,44,47,2068,4136,2254,2270,A8358B4E
369,12.3,694172,64,40,44,48,2112,4224,2321,2337,D9BF2DC1
370,12.333333333333334,696509,64,40,45,48,2160,4320,2462,2478,D093738D
371,12.366666666666667,698987,82,59,28,29,812,1624,994,1010,C12CAC33
372,12.4,699997,62,40,48,48,2304,4608,2464,2480,242ECC3E
373,12.433333333333334,702477,68,53,26,35,910,1820,1132,1148,2E96BD4A
374,12.466666666666667,703625,62,40,46,48,2208,4416,2450,2466,8A1F2752
375,12.5,706091,60,40,46,48,2208,4416,2482,2498,4AD399C2
376,12.533333333333333,708589,60,40,44,48,2112,4224,2397,2413,BCA40771
377,12.566666666666666,711002,59,41,45,47,2115,4230,2387,2403,1351E09A
378,12.6,713405,59,41,44,47,2068,4136,2265,2281,5D027B95
379,12.633333333333333,715686,67,48,19,15,285,570,485,501,87A5C26A
